X_value,Y_value,Time
1073,1058,769.05
1072,1085,769.07
1066,1117,769.08
1052,1152,769.10
1030,1196,769.12
1009,1242,769.13
994,1286,769.14
980,1317,769.16
971,1336,769.18
968,1344,769.19
966,1339,769.20
972,1340,769.22
978,1320,769.24
991,1298,769.25
1003,1266,769.27
1016,1231,769.28
1021,1184,769.30
1030,1143,769.31
1040,1108,769.33
1049,1077,769.34
1055,1049,769.36
1058,1021,769.37
1064,1006,769.38
1071,1006,769.40
1071,1006,769.42
1074,1013,769.43
1083,1042,769.45
1097,1082,769.46
1114,1124,769.48
1134,1172,769.49
1158,1225,769.51
1181,1280,769.52
1200,1327,769.54
1218,1365,769.55
1220,1373,769.57
1223,1376,769.58
1221,1372,769.60
1220,1369,769.61
1215,1353,769.63
1204,1330,769.64
"
","
","
"
1176,1237,769.70
1175,1233,769.72
1171,1229,769.74
1169,1230,769.75
1158,1230,769.76
1139,1227,769.78
1118,1228,769.80
1092,1229,769.81
1065,1233,769.82
1041,1236,769.84
1024,1239,769.86
1015,1243,769.87
1010,1239,769.88
1014,1243,769.90
"
","
","
"
1614,1010,770.87
1616,1037,770.88
1620,1077,770.90
1623,1130,770.92
1632,1199,770.93
1631,1258,770.95
1635,1301,770.96
1632,1311,770.98
1631,1312,770.99
1631,1303,771.01
1630,1272,771.02
1623,1231,771.04
1619,1182,771.05
1619,1129,771.06
1614,1076,771.08
1607,1029,771.10
1607,995,771.11
1594,965,771.13
1594,952,771.14
1591,949,771.16
1592,953,771.17
1600,981,771.18
1611,1021,771.20
1631,1070,771.22
1646,1122,771.23
1672,1181,771.25
1693,1233,771.26
1710,1270,771.28
1724,1290,771.30
1717,1303,771.30
1737,1286,771.32
1749,1257,771.34
1751,1212,771.36
1760,1167,771.37
1765,1116,771.38
1771,1066,771.40
1778,1020,771.41
1786,987,771.43
1790,967,771.44
1792,960,771.46
1800,963,771.48
1812,980,771.49
1821,1020,771.50
1836,1081,771.52
1847,1148,771.54
1860,1215,771.55
1868,1263,771.57
1874,1288,771.58
1872,1290,771.60
1876,1292,771.61
1874,1283,771.63
"
","
","
"
2028,982,771.84
2024,974,771.86
2004,967,771.88
1983,966,771.89
1960,974,771.91
1932,993,771.92
1913,1029,771.94
1898,1075,771.95
1896,1125,771.97
1901,1172,771.98
1916,1216,772.00
1937,1251,772.01
1965,1275,772.03
1995,1282,772.04
2030,1268,772.06
2056,1228,772.08
2082,1177,772.09
2087,1119,772.10
2084,1069,772.12
2071,1030,772.13
2053,1001,772.15
2032,983,772.16
2006,977,772.18
"
","
","
"
2133,985,772.40
2135,984,772.42
2135,984,772.43
2138,991,772.45
2149,1017,772.46
2169,1056,772.48
2186,1105,772.49
2210,1163,772.51
2225,1211,772.52
2237,1246,772.54
2244,1261,772.55
2248,1263,772.57
2248,1257,772.58
2257,1230,772.60
2261,1189,772.61
2265,1141,772.63
2268,1087,772.64
2271,1035,772.66
2268,985,772.67
2258,941,772.69
2258,911,772.70
2251,892,772.72
2253,890,772.74
2253,891,772.75
2257,898,772.76
"
","
","
"
2542,982,773.01
2537,983,773.03
2522,985,773.04
2502,988,773.06
2478,989,773.08
2458,991,773.09
2438,993,773.10
2422,996,773.12
2413,1003,773.14
2404,1018,773.15
2397,1042,773.16
2398,1076,773.18
2398,1112,773.20
2403,1146,773.21
2405,1175,773.23
2412,1201,773.24
2416,1221,773.26
2423,1238,773.27
2432,1252,773.29
2443,1265,773.30
2452,1271,773.32
2466,1274,773.33
2481,1268,773.35
2502,1254,773.36
2516,1243,773.38
2526,1236,773.39
2540,1235,773.41
2547,1233,773.42
2557,1233,773.44
2562,1234,773.45
"
","
","
"
2486,1140,773.58
2482,1138,773.60
2472,1140,773.62
2459,1143,773.63
2447,1146,773.65
2432,1148,773.66
2419,1152,773.68
2414,1158,773.69
2402,1160,773.71
"
","
","
"
3035,914,775.54
3035,904,775.55
3037,924,775.57
3037,934,775.58
3035,972,775.60
3045,990,775.62
3044,1052,775.63
3037,1113,775.65
3045,1161,775.66
3052,1191,775.68
3066,1208,775.69
3081,1212,775.71
3102,1208,775.72
3123,1192,775.74
3149,1175,775.75
3169,1163,775.77
"
","
","
"
3145,1079,775.88
3131,1073,775.89
3107,1076,775.90
3088,1081,775.92
3077,1085,775.94
3068,1085,775.95
"
","
","
"
3341,1100,776.17
3330,1095,776.19
3312,1097,776.20
3286,1105,776.22
3264,1117,776.23
3252,1136,776.24
3242,1158,776.26
3245,1179,776.28
3251,1195,776.29
3271,1208,776.31
3293,1210,776.32
3326,1195,776.34
3348,1165,776.35
3356,1135,776.37
3350,1109,776.38
3343,1095,776.40
3329,1088,776.41
"
","
","
"
3737,1056,776.86
3734,1054,776.88
3722,1052,776.90
3703,1055,776.91
3682,1066,776.93
3660,1083,776.94
3645,1100,776.96
3641,1112,776.97
3641,1112,776.99
3642,1109,777.00
3655,1107,777.01
3682,1103,777.03
3704,1102,777.05
3730,1112,777.06
3750,1129,777.08
3759,1150,777.09
3761,1165,777.11
3759,1172,777.12
3744,1179,777.14
3723,1188,777.15
3682,1195,777.18
3666,1182,777.20
"
","
","
"
3815,877,777.39
3819,892,777.40
3825,918,777.42
3824,951,777.44
3833,992,777.45
3839,1041,777.47
3845,1086,777.48
3843,1118,777.50
3849,1136,777.51
3848,1140,777.53
"
","
","
"
3889,1028,777.66
3882,1025,777.68
3865,1025,777.69
3848,1027,777.71
3829,1032,777.72
"
","
","
"
4009,1061,777.91
4007,1049,777.93
3993,1041,777.94
3974,1037,777.96
3946,1044,777.98
3923,1068,777.99
3904,1099,778.00
3892,1124,778.02
3897,1144,778.03
3909,1158,778.05
3924,1163,778.06
3952,1158,778.08
3984,1136,778.10
4014,1111,778.11
4021,1088,778.12
4026,1071,778.14
"
","
","
"
4080,1088,778.33
4094,1119,778.35
4113,1156,778.36
4121,1196,778.38
4125,1233,778.39
4125,1256,778.41
4127,1261,778.42
4123,1261,778.44
4109,1254,778.45
4099,1235,778.47
4084,1204,778.48
4077,1173,778.50
4075,1141,778.51
4077,1112,778.53
4080,1084,778.54
4092,1059,778.56
4104,1037,778.57
4121,1018,778.59
4145,1007,778.60
4166,1004,778.62
4185,1012,778.63
4202,1027,778.65
4211,1051,778.67
4216,1077,778.68
4214,1099,778.69
4206,1112,778.71
4199,1122,778.73
4184,1131,778.74
"
","
","
"
4519,892,780.80
4515,945,780.82
4517,1007,780.83
4516,1059,780.85
4519,1094,780.87
4519,1107,780.88
4519,1107,780.90
4519,1094,780.91
4524,1059,780.93
4528,1013,780.94
4535,965,780.96
4543,908,780.97
4549,863,780.99
4550,832,781.00
4550,815,781.02
4551,810,781.03
4551,811,781.05
4553,817,781.06
4560,846,781.08
4567,893,781.09
4578,955,781.11
4587,1022,781.12
4601,1079,781.14
4610,1112,781.15
4620,1118,781.17
4618,1112,781.18
4632,1074,781.20
4645,1021,781.21
4657,973,781.23
4664,917,781.24
4675,861,781.26
4687,822,781.27
4691,800,781.29
4696,792,781.31
4696,792,781.32
4700,797,781.33
4707,820,781.35
4714,867,781.36
4723,931,781.38
4736,999,781.39
4748,1056,781.41
4761,1103,781.43
4766,1129,781.44
